lr,lc,rc,ld,rd,lnnz,rnnz,sp_smdm,bz_smsm,bz_smdm
114059,34686,11559,0.00015297,0.05,605203,20048095,33545,28881,72446
31683,32508,6174,0.00015297,0.17,157556,34122834,4775,9600,9435
72822,57831,14154,0.00031941,0.07,1345182,57301813,62342,104483,143247
2739,78424,15866,0.00018467,0.05,39677,62217421,11033,3192,16014
84935,12015,13964,0.00001651,0.23,16848,38591061,22964,4176,18406
6103,20251,12405,0.00296184,0.27,366104,67833284,7851,14390,26794
65858,3776,26687,0.00078778,0.27,195927,27211303,29747,93396,47443
38914,15694,4996,0.01084252,0.3,6622177,23528295,50011,73489,176390
44704,5811,14677,0.00108175,0.17,281051,14501473,12487,43810,30158
66823,75696,25692,0.00163948,0.03,8293048,58345779,387678,258484,1175183
74994,27738,25355,0.00082185,0.05,1709621,35165355,92243,148103,269087
135355,38202,11339,0.00056263,0.07,2909288,30324708,117395,155019,262164
66726,22607,1330,0.00163948,0.13,2473191,3910963,7157,13739,18964
36799,5092,43610,0.00047003,0.03,88077,6662024,21095,9040,39511
44946,23862,10346,0.00013363,0.05,143321,12345012,12664,5487,18527
129648,25185,11868,0.00082185,0.17,2683583,50813846,114832,232249,243811
142307,8033,2625,0.00163948,0.27,1874270,5695502,15165,49099,36543
